Crime Against Category,Offense,Sector,Beat,MCPP,Time,Day,Year
2,53,5,B2,21,1699,4,0
1,0,12,K3,11,290,5,0
2,33,5,B2,4,1699,5,0
2,44,8,E3,20,1187,5,0
1,29,22,U1,50,1113,4,0
1,0,22,U1,58,339,5,0
2,8,19,R2,38,172,5,0
3,13,19,R2,12,1705,4,0
1,47,18,Q3,47,1908,4,0
2,12,22,U1,58,1989,4,0
1,0,12,K3,11,1686,4,0
1,0,19,R2,38,1856,4,0
1,47,7,D3,53,1732,4,0
1,29,18,Q3,47,1567,4,0
3,55,15,N2,6,41,4,0
1,47,15,N2,6,41,4,0
2,12,22,U2,58,1965,3,0
3,55,7,D2,47,1902,3,0
2,1,7,D2,53,1428,6,0
2,46,18,Q2,47,934,3,0
2,8,22,U1,58,634,3,0
2,53,22,U1,58,823,1,0
2,46,18,Q3,53,1912,2,0
2,1,13,L2,43,1896,2,0
2,46,5,B1,4,1650,2,0
2,50,5,B2,4,902,2,0
2,8,5,B2,4,0,2,0
2,53,5,B2,21,1428,6,0
2,8,22,U2,58,1800,0,0
2,1,22,U1,58,1806,0,0
2,12,22,U1,58,371,1,0
2,8,5,B2,21,0,5,0
2,51,22,U2,58,449,0,0
2,1,18,Q2,47,1244,0,0
2,8,8,E3,20,0,2,0
2,8,5,B2,4,1428,1,0
2,53,22,U2,58,1902,1,0
2,12,22,U1,58,493,2,0
2,1,18,Q3,53,506,2,0
2,53,8,E3,20,2008,5,0
3,55,5,B2,4,2,6,0
2,8,18,Q2,47,761,6,0
2,12,13,L2,50,661,6,0
2,33,5,B3,44,2061,6,0
3,55,8,E3,20,676,0,0
1,0,8,E3,20,676,0,0
2,46,5,B1,4,1491,5,0
2,54,5,B2,4,1244,4,0
2,33,7,D2,53,1960,4,0
2,8,24,W2,1,1606,1,0
2,54,22,U1,50,0,1,0
2,54,19,R2,38,438,6,0
2,12,8,E1,8,1428,5,0
2,54,5,B3,21,1113,6,0
2,53,5,B1,4,1806,4,0
2,1,7,D2,53,1806,4,0
2,1,5,B3,60,1478,4,0
2,1,5,B3,60,2014,4,0
2,51,7,D2,53,1639,4,0
2,53,22,U3,50,1562,4,0
2,8,18,Q3,47,2008,3,0
2,1,8,E1,8,1082,3,0
2,53,22,U3,52,2061,3,0
2,8,7,D2,53,586,4,0
2,53,12,K3,11,1902,3,0
2,51,22,U3,50,1076,3,0
2,1,22,U1,50,1381,3,0
2,33,18,Q2,47,396,0,0
2,44,13,L2,43,1867,6,0
2,54,8,E1,8,1157,6,0
2,1,22,U1,58,1257,6,0
2,46,13,L2,43,912,4,0
1,47,12,K3,46,912,6,0
1,47,19,R2,38,200,6,0
1,29,19,R2,38,1606,3,0
1,29,8,E1,8,2100,5,0
2,44,18,Q3,47,1543,5,0
1,47,8,E1,8,1895,5,0
1,0,24,W2,1,1800,5,0
3,55,18,Q3,47,1703,5,0
2,54,5,B1,4,1240,5,0
1,47,5,B1,4,0,5,0
2,33,15,N2,6,1676,4,0
2,53,5,B3,60,438,5,0
2,8,22,U1,58,371,5,0
2,33,19,R2,38,1861,3,0
2,33,5,B2,4,1522,5,0
2,54,22,U3,50,0,4,0
2,1,22,U3,52,276,2,0
2,8,22,U2,58,474,1,0
2,1,22,U1,50,1183,1,0
2,8,22,U1,50,661,5,0
2,1,22,U1,52,1622,5,0
2,8,22,U1,52,1522,3,0
2,51,18,Q3,47,1135,4,0
2,1,18,Q3,47,958,5,0
2,53,22,U1,58,1902,4,0
2,51,8,E1,8,1428,4,0
2,8,7,D3,53,191,6,0
2,8,5,B3,44,1428,0,0
2,58,5,B1,4,905,1,0
2,1,22,U3,52,796,4,0
2,33,15,N2,43,1806,4,0
2,54,15,N2,43,1806,4,0
2,8,5,B3,44,1522,4,0
2,1,22,U2,58,1982,2,0
2,53,22,U1,50,1806,6,0
2,1,8,E3,20,1645,1,0
2,8,13,L2,43,1902,4,0
2,51,5,B2,4,1279,5,0
2,51,7,D2,53,1134,2,0
2,51,22,U2,58,1273,5,0
2,12,5,B1,4,943,5,0
2,10,5,B2,21,1222,1,0
2,26,8,E3,20,0,0,0
2,1,22,U1,58,1009,1,0
2,51,22,U3,52,1031,0,0
2,12,22,U2,58,905,1,0
2,54,22,U1,58,586,1,0
2,46,13,L2,43,1172,1,0
2,12,18,Q3,47,700,3,0
2,53,5,B2,21,1654,1,0
2,53,18,Q2,47,65,5,0
2,1,22,U2,58,270,6,0
2,1,7,D2,47,984,2,0
2,26,22,U3,52,0,0,0
2,1,7,D3,18,881,1,0
2,53,5,B1,4,1650,0,0
2,1,18,Q3,47,1285,1,0
2,53,24,W2,1,1806,0,0
2,53,7,D3,18,1100,1,0
2,51,24,W2,1,107,5,0
2,53,5,B1,4,1088,1,0
2,8,8,E3,20,1428,1,0
2,26,24,W2,1,810,0,0
2,26,18,Q2,47,661,2,0
2,51,8,E1,8,1325,4,0
