iter	MultiClass
906	1.288426522
907	1.288376969
908	1.288143755
909	1.287819302
910	1.287727275
911	1.287658845
912	1.287503205
913	1.287404198
914	1.287176687
915	1.287007479
916	1.286916337
917	1.28670151
918	1.286497399
919	1.286327012
920	1.286236459
921	1.286148857
922	1.286036085
923	1.285888704
924	1.285694327
925	1.285401925
926	1.28516065
927	1.284958505
928	1.284815746
929	1.284697664
930	1.284473398
931	1.284295932
932	1.283999499
933	1.283827735
934	1.28362156
935	1.283318638
936	1.283221203
937	1.283094765
938	1.282982681
939	1.282825567
940	1.282727247
941	1.282412134
942	1.282318436
943	1.282215397
944	1.282065559
945	1.281962225
946	1.281880227
947	1.281829396
948	1.281709348
949	1.281547907
950	1.281382928
951	1.281289229
952	1.281098392
953	1.280926038
954	1.280590867
955	1.280365126
956	1.280076068
957	1.279770098
958	1.27958162
959	1.279410151
960	1.279239469
961	1.279057873
962	1.278950017
963	1.278782579
964	1.278681409
965	1.278594298
966	1.278476118
967	1.278334243
968	1.278200726
969	1.278088838
970	1.277990126
971	1.27777579
972	1.277660166
973	1.277518881
974	1.27740257
975	1.277197574
976	1.276877938
977	1.276789549
978	1.276626634
979	1.276202386
980	1.275998177
981	1.275853451
982	1.275688766
983	1.275576977
984	1.275419076
985	1.27532174
986	1.275120775
987	1.274962481
988	1.274778723
989	1.274583755
990	1.274463413
991	1.274340219
992	1.274238556
993	1.274169733
994	1.273952841
995	1.273761708
996	1.273365874
997	1.273140527
998	1.2730134
999	1.272963945
